Well Count,Total Water (bbl),Total Oil (bbl),Total Gas (cf),State,County,Average Water Per Well (bbl),Average TD (ft),Average Lateral Length (ft),Average GL Elevation (ft),Average Oil Per Well (bbl),Average Gas Per Well (cf),Average Emissions Per Well (tons),State,County,Pollutant,Emissions (tons),Pollutant,Emissions (tons),Pollutant,Emissions (tons),,
420,84000000,20000000,32000000000,Utah,Uintah,200000,5939,948,2900,47619,76190476,0,Utah,Uintah,,,,,,,,
72,102000000,3000000,858000000,Wyoming,Big Horn,1416667,5131,219,3016,41667,11916667,0,Wyoming,Big Horn,,,,,,,,
745,55000000,62000000,26000000000,Wyoming,Campbell,73826,8851,376,2893,83221,34899329,0,Wyoming,Campbell,,,,,,,,
60,43000000,3000000,6000000000,Wyoming,Carbon,716667,6053,166,4488,50000,100000000,0,Wyoming,Carbon,,,,,,,,
66,12000000,2000000,4000000000,Wyoming,Converse,181818,6959,176,2950,30303,60606061,0,Wyoming,Converse,,,,,,,,
145,26000000,7000000,94000000,Wyoming,Crook,179310,4277,212,3483,48276,648276,0,Wyoming,Crook,,,,,,,,
212,347000000,11000000,21000000000,Wyoming,Fremont,1636792,4557,281,2987,51887,99056604,0,Wyoming,Fremont,,,,,,,,
282,266000000,11000000,694000000,Wyoming,Hot Springs,943262,3134,223,2975,39007,2460993,0,Wyoming,Hot Springs,,,,,,,,
120,9000000,7000000,4000000000,Wyoming,Johnson,75000,7391,154,2592,58333,33333333,0,Wyoming,Johnson,,,,,,,,
17,1000000,1000000,521000000,Wyoming,Laramie,58824,7809,197,4986,58824,30647059,0,Wyoming,Laramie,,,,,,,,
1028,1680000000,26000000,17000000000,Wyoming,Natrona,1634241,2359,192,3679,25292,16536965,0,Wyoming,Natrona,,,,,,,,
29,332000,1000000,885000000,Wyoming,Niobrara,11448,5367,136,3422,34483,30517241,0,Wyoming,Niobrara,,,,,,,,
531,1134000000,53000000,16000000000,Wyoming,Park,2135593,4659,238,2642,99812,30131827,0,Wyoming,Park,,,,,,,,
75,2000000,1000000,2000000000,Wyoming,Sublette,26667,2552,194,5201,13333,26666667,0,Wyoming,Sublette,,,,,,,,
238,145000000,15000000,29000000000,Wyoming,Sweetwater,609244,5938,341,5321,63025,121848739,0,Wyoming,Sweetwater,,,,,,,,
11,3000000,16000000,170000000000,Wyoming,Uinta,272727,1209,201,5350,1454545,15454545455,0,Wyoming,Uinta,,,,,,,,
47,15000000,2000000,577000000,Wyoming,Washakie,319149,7367,205,3055,42553,12276596,0,Wyoming,Washakie,,,,,,,,
326,17000000,1000000,100000000,Wyoming,Weston,52147,2648,163,2229,3067,306748,0,Wyoming,Weston,,,,,,,,
